Stations_id;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Jahr
118;52,3;41,4;48,9;41,7;62,5;86,2;88,1;63,9;57,3;55,7;50,5;58,6;1919
119;50,1;32,6;44,6;35,1;51,6;72,1;66,3;63,9;61,9;56,1;51,4;56,5;1917
120;51,1;37,6;46,3;42,6;57,4;73,3;61,3;59,1;46,4;40,5;48,4;63,8;1917
121;88;69,1;84,2;65,2;78,4;88,8;90;72,8;83,3;82,8;93,1;105,7;1902
122;57;39,3;51,7;49;49,7;67,2;65;62,3;52,9;50,3;53,3;63,4;1918
123;69,2;51;58,6;42,7;62,4;82,8;80,8;66;60,4;60,4;60,5;74,5;1921
124;32,1;28,6;40;39,4;55,3;61,6;61,6;52,5;43,3;38,1;38,9;40,7;1914
127;78,8;73,1;67,1;64;87,7;94,8;77,4;74,4;64,1;73,6;82;95,1;1925
128;53,1;45,6;52,6;43,8;71,1;89,5;93,3;81,1;61,8;51,9;55;65,4;1920
129;43,6;28,1;39,3;33,9;49,8;62,9;58,3;47,4;42,3;36,8;41,2;51,2;1914
130;52,4;42;52,7;47,4;60,3;77,9;68,7;55,9;48;56;55,4;64,7;1918
131;49,8;44;54,5;56;58;70,9;77,2;76;56;47,9;58,7;62,1;1919
132;65,5;54,9;66,4;56,8;84,8;101,1;103,9;83,7;76,7;71,7;67,7;79,4;1924
133;61,8;60,6;59,6;57,9;85;95,3;70,9;69,3;60,9;63;74,8;73,6;1922
134;75,3;56,3;62,2;5,31;69,4;87,8;100,8;80;67,8;65;68,4;83,3;1923
135;38;36,3;48,1;52,2;57,5;75,8;72,6;62,7;49,3;45,2;52,4;47,5;1917
137;103,1;74,2;90,7;81,6;101,9;11,8;145,5;114,8;96,3;91,1;101,3;126,2;1934
138;47,8;39,7;44,3;40,6;60,9;84,1;88,8;73,5;55,5;52,7;54,6;58,6;1919
139;50,2;43,2;47,8;45,7;69,2;89,9;87;72,9;56,5;60;59;64,5;1920
140;41,3;31,3;40,1;39,4;42,8;60,1;59,6;53,5;45,1;38,9;40,5;47,7;1914
141;35,3;34,2;42,7;50,9;55,7;71,5;70,6;71,4;51,2;43,9;49;46,1;1901
142;48,3;45,7;51,1;63,4;86;114,4;113,6;92;74,9;63,5;66;58,4;1923
143;54;50,6;55,4;67,2;91,1;116,1;118,1;96,3;78,4;65,2;71,3;65;1925
144;34;27,7;32,2;30,8;50,6;58,6;58;50,9;39,9;31;35,1;42,4;1913
145;78,1;75,6;85,7;94,7;106,6;143,1;135,9;124,1;97,1;85,9;104,9;100,4;1933
146;87,2;88,8;100,6;104,9;123,2;163,5;162,9;136,9;113,6;91,3;11,6;117,6;1938
147;38,6;27,1;39,2;33,8;55,6;62,7;58,2;5,71;45,9;37,2;41,2;46,3;1914
148;66,2;47,3;60,8;46,6;53,7;81,3;78,5;71,1;71,9;72,9;73,9;82,4;1922
149;51,6;45,3;53,7;51;62,3;71,5;79,3;59,7;55,1;60;63,1;67,5;1901
150;35,1;33,3;39;41;60,8;57,8;64,4;43,4;45,8;49,7;48,6;47,2;1915
